start_time,length,rename_to
0,25,chunked_videos/4AIlE6G81GI-scene001/split_0.mp4
25,25,chunked_videos/4AIlE6G81GI-scene001/split_1.mp4
50,25,chunked_videos/4AIlE6G81GI-scene001/split_2.mp4
75,25,chunked_videos/4AIlE6G81GI-scene001/split_3.mp4
100,25,chunked_videos/4AIlE6G81GI-scene001/split_4.mp4
125,25,chunked_videos/4AIlE6G81GI-scene001/split_5.mp4
150,25,chunked_videos/4AIlE6G81GI-scene001/split_6.mp4
175,25,chunked_videos/4AIlE6G81GI-scene001/split_7.mp4
200,25,chunked_videos/4AIlE6G81GI-scene001/split_8.mp4
225,25,chunked_videos/4AIlE6G81GI-scene001/split_9.mp4
250,25,chunked_videos/4AIlE6G81GI-scene001/split_10.mp4
275,25,chunked_videos/4AIlE6G81GI-scene001/split_11.mp4
300,25,chunked_videos/4AIlE6G81GI-scene001/split_12.mp4
325,25,chunked_videos/4AIlE6G81GI-scene001/split_13.mp4
