,start_time,end_time,start_frame,end_frame
0,00:00:00.000,00:01:08.833,0,2065
1,00:01:08.833,00:01:11.333,2065,2140
2,00:01:11.333,00:01:32.900,2140,2787
3,00:01:32.900,00:01:42.733,2787,3082
4,00:01:42.733,00:01:56.333,3082,3490
5,00:01:56.333,00:01:56.833,3490,3505
6,00:01:56.833,00:02:13.667,3505,4010
7,00:02:13.667,00:02:14.167,4010,4025
8,00:02:14.167,00:02:14.833,4025,4045
9,00:02:14.833,00:02:18.467,4045,4154
10,00:02:18.467,00:02:18.967,4154,4169
11,00:02:18.967,00:02:19.467,4169,4184
12,00:02:19.467,00:02:19.967,4184,4199
13,00:02:19.967,00:02:22.133,4199,4264
14,00:02:22.133,00:02:22.633,4264,4279
15,00:02:22.633,00:02:23.133,4279,4294
16,00:02:23.133,00:02:25.033,4294,4351
17,00:02:25.033,00:02:25.533,4351,4366
18,00:02:25.533,00:02:26.033,4366,4381
19,00:02:26.033,00:02:26.533,4381,4396
20,00:02:26.533,00:02:27.200,4396,4416
21,00:02:27.200,00:02:27.700,4416,4431
22,00:02:27.700,00:02:31.267,4431,4538
23,00:02:31.267,00:02:32.067,4538,4562
24,00:02:32.067,00:02:32.600,4562,4578
25,00:02:32.600,00:02:39.233,4578,4777
26,00:02:39.233,00:02:52.700,4777,5181
27,00:02:52.700,00:02:53.700,5181,5211
28,00:02:53.700,00:02:54.200,5211,5226
29,00:02:54.200,00:02:54.700,5226,5241
30,00:02:54.700,00:03:15.600,5241,5868
31,00:03:15.600,00:03:16.933,5868,5908
32,00:03:16.933,00:03:17.733,5908,5932
33,00:03:17.733,00:03:21.267,5932,6038
34,00:03:21.267,00:03:21.800,6038,6054
35,00:03:21.800,00:03:35.367,6054,6461
36,00:03:35.367,00:03:35.867,6461,6476
37,00:03:35.867,00:03:36.667,6476,6500
38,00:03:36.667,00:03:41.000,6500,6630
39,00:03:41.000,00:03:41.500,6630,6645
40,00:03:41.500,00:03:42.767,6645,6683
41,00:03:42.767,00:03:43.267,6683,6698
42,00:03:43.267,00:03:43.767,6698,6713
43,00:03:43.767,00:03:44.500,6713,6735
44,00:03:44.500,00:03:47.033,6735,6811
45,00:03:47.033,00:03:55.933,6811,7078
46,00:03:55.933,00:04:05.533,7078,7366
47,00:04:05.533,00:04:06.067,7366,7382
48,00:04:06.067,00:04:06.600,7382,7398
49,00:04:06.600,00:04:07.600,7398,7428
50,00:04:07.600,00:04:08.800,7428,7464
51,00:04:08.800,00:04:09.300,7464,7479
52,00:04:09.300,00:04:11.500,7479,7545
53,00:04:11.500,00:04:12.000,7545,7560
54,00:04:12.000,00:04:14.233,7560,7627
55,00:04:14.233,00:04:15.700,7627,7671
56,00:04:15.700,00:04:18.733,7671,7762
57,00:04:18.733,00:04:22.167,7762,7865
58,00:04:22.167,00:04:22.967,7865,7889
59,00:04:22.967,00:04:24.000,7889,7920
60,00:04:24.000,00:04:25.400,7920,7962
61,00:04:25.400,00:04:26.367,7962,7991
62,00:04:26.367,00:04:27.700,7991,8031
63,00:04:27.700,00:04:28.200,8031,8046
64,00:04:28.200,00:04:30.567,8046,8117
65,00:04:30.567,00:04:36.733,8117,8302
66,00:04:36.733,00:04:37.233,8302,8317
67,00:04:37.233,00:04:39.533,8317,8386
68,00:04:39.533,00:04:40.367,8386,8411
69,00:04:40.367,00:04:41.133,8411,8434
70,00:04:41.133,00:04:41.633,8434,8449
71,00:04:41.633,00:04:42.833,8449,8485
72,00:04:42.833,00:04:44.733,8485,8542
73,00:04:44.733,00:04:46.067,8542,8582
74,00:04:46.067,00:04:46.800,8582,8604
75,00:04:46.800,00:04:47.300,8604,8619
76,00:04:47.300,00:04:48.000,8619,8640
77,00:04:48.000,00:04:48.500,8640,8655
78,00:04:48.500,00:05:26.600,8655,9798
79,00:05:26.600,00:05:27.867,9798,9836
80,00:05:27.867,00:05:31.233,9836,9937
81,00:05:31.233,00:05:31.733,9937,9952
82,00:05:31.733,00:05:32.233,9952,9967
83,00:05:32.233,00:05:32.800,9967,9984
84,00:05:32.800,00:05:33.300,9984,9999
85,00:05:33.300,00:06:45.933,9999,12178
86,00:06:45.933,00:06:48.000,12178,12240
87,00:06:48.000,00:06:48.500,12240,12255
88,00:06:48.500,00:06:49.000,12255,12270
89,00:06:49.000,00:06:49.500,12270,12285
90,00:06:49.500,00:06:50.100,12285,12303
91,00:06:50.100,00:06:50.600,12303,12318
92,00:06:50.600,00:06:51.100,12318,12333
93,00:06:51.100,00:06:52.133,12333,12364
94,00:06:52.133,00:07:03.200,12364,12696
95,00:07:03.200,00:07:03.967,12696,12719
96,00:07:03.967,00:07:09.567,12719,12887
97,00:07:09.567,00:07:10.067,12887,12902
98,00:07:10.067,00:07:12.633,12902,12979
99,00:07:12.633,00:07:13.167,12979,12995
100,00:07:13.167,00:07:13.667,12995,13010
101,00:07:13.667,00:07:14.167,13010,13025
102,00:07:14.167,00:07:15.633,13025,13069
103,00:07:15.633,00:07:16.133,13069,13084
104,00:07:16.133,00:07:16.633,13084,13099
105,00:07:16.633,00:07:17.133,13099,13114
106,00:07:17.133,00:07:29.000,13114,13470
107,00:07:29.000,00:08:01.500,13470,14445
108,00:08:01.500,00:08:03.867,14445,14516
109,00:08:03.867,00:08:04.800,14516,14544
110,00:08:04.800,00:08:05.300,14544,14559
111,00:08:05.300,00:08:17.033,14559,14911
112,00:08:17.033,00:08:17.533,14911,14926
113,00:08:17.533,00:09:53.200,14926,17796
114,00:09:53.200,00:10:00.667,17796,18020
115,00:10:00.667,00:10:01.167,18020,18035
116,00:10:01.167,00:10:11.200,18035,18336
117,00:10:11.200,00:10:13.767,18336,18413
118,00:10:13.767,00:10:16.400,18413,18492
119,00:10:16.400,00:10:18.333,18492,18550
120,00:10:18.333,00:10:19.933,18550,18598
121,00:10:19.933,00:10:20.867,18598,18626
122,00:10:20.867,00:10:21.367,18626,18641
123,00:10:21.367,00:10:21.867,18641,18656
124,00:10:21.867,00:10:24.133,18656,18724
125,00:10:24.133,00:10:24.633,18724,18739
126,00:10:24.633,00:10:25.133,18739,18754
127,00:10:25.133,00:10:26.267,18754,18788
128,00:10:26.267,00:10:26.833,18788,18805
129,00:10:26.833,00:10:27.333,18805,18820
130,00:10:27.333,00:10:29.767,18820,18893
131,00:10:29.767,00:10:30.700,18893,18921
132,00:10:30.700,00:10:31.200,18921,18936
133,00:10:31.200,00:10:32.300,18936,18969
134,00:10:32.300,00:10:34.400,18969,19032
135,00:10:34.400,00:10:35.267,19032,19058
136,00:10:35.267,00:11:19.800,19058,20394
137,00:11:19.800,00:15:01.033,20394,27031
138,00:15:01.033,00:15:49.967,27031,28499
139,00:15:49.967,00:15:50.467,28499,28514
140,00:15:50.467,00:15:55.000,28514,28650
141,00:15:55.000,00:15:55.500,28650,28665
